team,month,department,actual_productivity,targeted_productivity,wip,over_time,worker_efficiency,idle_time,style_changes,num_workers,incentive,productivity_gap,productivity_ratio,overtime_per_worker,incentive_per_worker,idle_time_per_worker,style_changes_per_worker,idle_time_ratio,low_productivity_flag
1,1,finishing ,0.8734365212608696,0.7652173913043478,37011.51785714286,2060.8695652173915,0.02945049957805488,0.0,0,9.130434782608695,0,-0.10821912995652172,1.138336332598503,215.2173913043478,0.0,0.0,0.0,0.0,0
1,1,sweing,0.78648031396,0.7560000000000001,32063.0,9327.6,0.0005273872854223944,0.0,0,58.22,1594,-0.030480313959999977,1.0438617562665566,160.18042676813528,1.093009050957476,0.0,0.0,0.0,1
1,2,finishing,0.8321846865384616,0.7538461538461539,20919.553571428572,1735.3846153846155,0.020952650164323832,0.0,0,10.461538461538462,0,-0.07833853269230764,1.1289439991730768,175.3846153846154,0.0,0.0,0.0,0.0,0
1,2,finishing ,0.8166283623333334,0.7666666666666666,4827.589285714286,1920.0,0.014895583253183723,0.0,0,16.0,0,-0.049961695666666674,1.0612030942222221,120.0,0.0,0.0,0.0,0.0,1
1,2,sweing,0.8563453104285714,0.7476190476190476,43501.0,5077.142857142857,0.000669567543347154,0.0,6,55.666666666666664,1756,-0.10872626280952376,1.1323883427549712,91.9645267013688,1.4612279182295989,0.0,0.00567001920385379,0.0,1
1,3,finishing,0.720500139,0.705,16091.964285714286,1680.0,0.022858506947969544,0.0,0,8.0,960,-0.015500139000000024,1.0137043112908426,210.0,12.0,0.0,0.0,0.0,0
1,3,sweing,0.80031234,0.705,14551.0,7098.0,0.0005143508534364222,0.0,0,58.1,583,-0.09531234000000002,1.1368574940604395,122.17066043249561,1.0028817660750355,0.0,0.0,0.0,0
2,1,finishing ,0.7999013136818182,0.7795454545454547,29178.175438596492,2143.6363636363635,0.022103714376741242,0.0,0,9.954545454545455,0,-0.020355859136363615,1.0277129593419914,181.70454545454547,0.0,0.0,0.0,0.0,1
2,1,sweing,0.7919459571538462,0.7480769230769231,28839.0,8831.538461538461,0.0005711996973427075,0.0,0,57.0,1566,-0.043869034076923066,1.061411465267223,154.70892787004715,1.053899251284501,0.0,0.0,0.0,1
2,2,finishing,0.7682036487222222,0.7777777777777778,23873.052631578947,2000.0,0.013457261511704436,0.0,0,14.722222222222221,0,0.009574129055555571,0.9788904736011905,133.33333333333334,0.0,0.0,0.0,0.0,3
2,2,finishing ,0.957091667,0.8,2652.561403508772,1800.0,0.017937500006345176,0.0,0,15.0,0,-0.15709166699999993,1.1963645837499999,120.0,0.0,0.0,0.0,0.0,0
2,2,sweing,0.7897388576363636,0.7431818181818183,41259.0,4810.909090909091,0.0005605488794761071,0.0,9,57.5,1254,-0.04655703945454544,1.0471748867247752,83.73201546984193,0.9907653461238621,0.0,0.007109245072193794,0.0,2
2,3,finishing,0.7227061111,0.6399999999999999,13262.807017543859,1638.0,0.020715432098076924,0.0,0,9.3,1200,-0.08270611110000001,1.1447376984238096,162.0,12.0,0.0,0.0,0.0,0
2,3,sweing,0.6101800264444445,0.6333333333333333,5500.0,4373.333333333333,0.0007877811671084074,6.5,8,46.666666666666664,145,0.023153306888888867,0.9492669227806267,95.82186684435561,0.3580246913580247,0.01604938271604938,0.01964573268921095,0.00013336747540703753,0
3,1,finishing ,0.8583746506666666,0.7611111111111111,25367.275862068964,2276.6666666666665,0.022752471997347565,0.0,0,10.11111111111111,0,-0.09726353955555553,1.1279923976051587,202.53968253968253,0.0,0.0,0.0,0.0,2
3,1,sweing,0.7866158236799999,0.742,27063.0,8706.0,0.0006270211912793575,0.0,0,56.22,1393,-0.04461582367999999,1.0633825975711355,154.86307587149693,0.9861427391314944,0.0,0.0,0.0,0
3,2,finishing,0.8022969213,0.65,14092.931034482757,2700.0,0.01277501285977609,0.0,0,13.8,0,-0.15229692129999997,1.27258537035,192.0,0.0,0.0,0.0,0.0,1
3,2,sweing,0.7564421364782609,0.7217391304347827,44464.0,5830.434782608696,0.000515319647229836,0.0,20,57.52173913043478,1315,-0.03470300604347824,1.0425364348331343,101.42026355243432,0.9976543683045694,0.0,0.0150082853310187,0.0,1
3,3,finishing,0.8752671295555555,0.8,12683.637931034482,3853.3333333333335,0.014490435955072465,0.0,0,14.777777777777779,1440,-0.07526712955555552,1.0940839119444443,220.0,13.333333333333334,0.0,0.0,0.0,0
3,3,sweing,0.7953901259,0.795,10212.0,5628.0,0.00046777743342111535,0.0,5,57.3,560,-0.00039012589999997126,1.0004916047416665,98.15970961887477,0.9771324863883848,0.0,0.008681185722928008,0.0,0
4,1,finishing ,0.8911243666086957,0.7043478260869565,28029.593220338982,4077.391304347826,0.01450947788681412,0.0,0,16.130434782608695,0,-0.18677654052173912,1.403812665680642,243.5144927536232,0.0,0.0,0.0,0.0,0
4,1,sweing,0.7463034873076922,0.7250000000000001,23311.0,9069.23076923077,0.0005436027509419887,0.0,0,56.96153846153846,1345,-0.0213034873076923,1.0277203514411102,159.02980671252874,0.9086973623423044,0.0,0.0,0.0,1
4,2,finishing,0.7362093057,0.74,12186.77966101695,1680.0,0.013654291145474501,0.0,0,13.2,0,0.003790694299999986,1.0057516205654762,132.0,0.0,0.0,0.0,0.0,2
4,2,finishing ,0.7306018516666667,0.8000000000000002,3656.0338983050847,1440.0,0.014158950613695091,0.0,0,12.0,0,0.0693981483333334,0.9132523145833332,120.0,0.0,0.0,0.0,0.0,1
4,2,sweing,0.6933685383913043,0.7130434782608696,38458.0,6135.652173913043,0.0004199101165336211,150.0,21,57.869565217391305,837,0.019674939869565217,0.9741465707338349,106.02928113147223,0.6295117389555034,0.11750881316098707,0.015713205110609377,0.0010708755407029082,1
4,3,finishing,0.7699827083999999,0.705,12186.77966101695,1200.0,0.024428385418781725,0.0,0,8.0,960,-0.06498270840000002,1.0926690792472527,150.0,12.0,0.0,0.0,0.0,0
4,3,sweing,0.7752703432,0.705,10133.0,6840.0,0.0004991276037588063,0.0,0,58.0,538,-0.07027034320000002,1.0986301349018315,117.96428681288258,0.9272360474535256,0.0,0.0,0.0,0
